id,topic,date,qNum,qStatement,a1,a2,a3,a4,a5,ans,Year,Month,Monthind,,,,,,,,,,,,,,,
Apr.2021.Z04.26,HW for Class on 02.02,April.2021.Z04,26,,,,,,,G (Topic: Probability-Combinations-Permutations),,,,,,June.2022.27,HW for Class on 01.26,June.2022,27,,,,,,,C (Topic: Matrices),,
Apr.2019.B04.27,HW for Class on 02.02,April.2019.B04,27,,,,,,,A (Topic: Probability-Combinations-Permutations),,,,,,Jun.2015.48,HW for Class on 01.26,June.2015,48,,,,,,,K (Topic: Matrices),,
Dec.2016.30,HW for Class on 02.02,December.2016,30,,,,,,,K (Topic: Probability-Combinations-Permutations),,,,,,Apr.2019.Z15.58,HW for Class on 01.26,April.2019.Z15,58,,,,,,,G (Topic: Matrices),,
Dec.2022.30,HW for Class on 02.02,December.2022,30,,,,,,,J (Topic: Probability-Combinations-Permutations),,,,,,,,,,,,,,,,,,
Apr.2019.Z15.34,HW for Class on 02.02,April.2019.Z15,34,,,,,,,G (Topic: Statistics),,,,,,,,,,,,,,,,,,
Apr.2021.Z04.38,HW for Class on 02.02,April.2021.Z04,38,,,,,,,F (Topic: Probability-Combinations-Permutations),,,,,,,,,,,,,,,,,,
June.2020.38,HW for Class on 02.02,June.2020,38,,,,,,,F (Topic: Probability-Combinations-Permutations),,,,,,,,,,,,,,,,,,
Dec.2018.39,HW for Class on 02.02,December.2018,39,,,,,,,E (Topic: Statistics),,,,,,,,,,,,,,,,,,
Apr.2017.41,HW for Class on 02.02,April.2017,41,,,,,,,A (Topic: Data Interpretation),,,,,,,,,,,,,,,,,,
Jun.2015.41,HW for Class on 02.02,June.2015,41,,,,,,,D (Topic: Data Interpretation),,,,,,,,,,,,,,,,,,
Dec.2022.44,HW for Class on 02.02,December.2022,44,,,,,,,G (Topic: Probability-Combinations-Permutations),,,,,,,,,,,,,,,,,,
Apr.2019.Z15.45,HW for Class on 02.02,April.2019.Z15,45,,,,,,,A (Topic: Data Interpretation),,,,,,,,,,,,,,,,,,
Apr.2021.D05.50,HW for Class on 02.02,April.2021.D05,50,,,,,,,J (Topic: Probability-Combinations-Permutations),,,,,,,,,,,,,,,,,,
July.2020.52,HW for Class on 02.02,July.2020,52,,,,,,,J (Topic: Statistics),,,,,,,,,,,,,,,,,,
Dec.2017.54,HW for Class on 02.02,December.2017,54,,,,,,,J (Topic: Statistics),,,,,,,,,,,,,,,,,,
Dec.2017.54,HW for Class on 02.02,December.2017,54,,,,,,,J (Topic: Statistics),,,,,,,,,,,,,,,,,,
June.2020.56,HW for Class on 02.02,June.2020,56,,,,,,,K (Topic: Imaginary Numbers),,,,,,,,,,,,,,,,,,
Apr.2021.D05.56,HW for Class on 02.02,April.2021.D05,56,,,,,,,K (Topic: Statistics),,,,,,,,,,,,,,,,,,
July.2020.56,HW for Class on 02.02,July.2020,56,,,,,,,J (Topic: Probability-Combinations-Permutations),,,,,,,,,,,,,,,,,,
Dec.2016.57,HW for Class on 02.02,December.2016,57,,,,,,,D (Topic: Imaginary Numbers),,,,,,,,,,,,,,,,,,
Apr.2019.Z15.57,HW for Class on 02.02,April.2019.Z15,57,,,,,,,D (Topic: Statistics),,,,,,,,,,,,,,,,,,
Apr.2017.58,HW for Class on 02.02,April.2017,58,,,,,,,F (Topic: Imaginary Numbers),,,,,,,,,,,,,,,,,,
Jun.2018.58,HW for Class on 02.02,June.2018,58,,,,,,,F (Topic: Probability-Combinations-Permutations),,,,,,,,,,,,,,,,,,
Dec.2018.58,HW for Class on 02.02,December.2018,58,,,,,,,K (Topic: Probability-Combinations-Permutations),,,,,,,,,,,,,,,,,,
Jun.2021.59,HW for Class on 02.02,June.2021,59,,,,,,,A (Topic: Probability-Combinations-Permutations),,,,,,,,,,,,,,,,,,
Dec.2016.59,HW for Class on 02.02,December.2016,59,,,,,,,A (Topic: Statistics),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr.2021.D05.07,HW for Class on 02.09,April.2021.D05,7,,,,,,,B (Topic: Vocab),,,,,,,,,,,,,,,,,,
Dec.2022.18,HW for Class on 02.09,December.2022,18,,,,,,,K (Topic: Vocab),,,,,,,,,,,,,,,,,,
Apr.2021.Z04.31,HW for Class on 02.09,April.2021.Z04,31,,,,,,,B (Topic: Vocab),,,,,,,,,,,,,,,,,,
Jun.2021.31,HW for Class on 02.09,June.2021,31,,,,,,,C (Topic: Sequences),,,,,,,,,,,,,,,,,,
Apr.2019.B04.33,HW for Class on 02.09,April.2019.B04,33,,,,,,,A (Topic: Vocab),,,,,,,,,,,,,,,,,,
June.2022.36,HW for Class on 02.09,June.2022,36,,,,,,,K (Topic: Vocab),,,,,,,,,,,,,,,,,,
June.2020.40,HW for Class on 02.09,June.2020,40,,,,,,,K (Topic: Probability-Combinations-Permutations),,,,,,,,,,,,,,,,,,
Jun.2018.41,HW for Class on 02.09,June.2018,41,,,,,,,E (Topic: Vocab),,,,,,,,,,,,,,,,,,
Jun.2019.47,HW for Class on 02.09,June.2019,47,,,,,,,B (Topic: Sequences),,,,,,,,,,,,,,,,,,
July.2020.49,HW for Class on 02.09,July.2020,49,,,,,,,D (Topic: Vocab),,,,,,,,,,,,,,,,,,
Dec.2017.49,HW for Class on 02.09,December.2017,49,,,,,,,B (Topic: Trig),,,,,,,,,,,,,,,,,,
Dec.2018.51,HW for Class on 02.09,December.2018,51,,,,,,,B (Topic: Vocab),,,,,,,,,,,,,,,,,,
Jun.2021.53,HW for Class on 02.09,June.2021,53,,,,,,,D (Topic: Trig),,,,,,,,,,,,,,,,,,
Jun.2019.53,HW for Class on 02.09,June.2019,53,,,,,,,A (Topic: Trig),,,,,,,,,,,,,,,,,,
Dec.2022.53,HW for Class on 02.09,December.2022,53,,,,,,,D (Topic: Plug in Numbers (Calc)),,,,,,,,,,,,,,,,,,
Apr.2015.53,HW for Class on 02.09,April.2015,53,"53. Suppose that equally spaced dots are marked on each side of a regular polygon, with a dot at each vertex, and that the distance between consecutive dots is the same for all sides. The figure below shows 4 equally spaced dots per side, including a dot at each vertex, for an equilateral triangle. Which of the following expressions represents the number of dots for a regular polygon with n equally spaced dots including one at each vertex, marked on each of its s sides?",ns,ns - 1,ns - s,ns + s,ns – n,C (Topic: Plug in Numbers (Calc)),,,,,,,,,,,,,,,,,,
